O1_mean,O1_ptp,O1_std,O1_entropy,O2_mean,O2_ptp,O2_std,O2_entropy,OZ_mean,OZ_ptp,OZ_std,OZ_entropy,P1_mean,P1_ptp,P1_std,P1_entropy,P2_mean,P2_ptp,P2_std,P2_entropy,PZ_mean,PZ_ptp,PZ_std,PZ_entropy,PO3_mean,PO3_ptp,PO3_std,PO3_entropy,PO4_mean,PO4_ptp,PO4_std,PO4_entropy,PO7_mean,PO7_ptp,PO7_std,PO7_entropy,PO8_mean,PO8_ptp,PO8_std,PO8_entropy,P3_mean,P3_ptp,P3_std,P3_entropy,P4_mean,P4_ptp,P4_std,P4_entropy,O1_Delta_power,O2_Delta_power,OZ_Delta_power,P1_Delta_power,P2_Delta_power,PZ_Delta_power,PO3_Delta_power,PO4_Delta_power,PO7_Delta_power,PO8_Delta_power,P3_Delta_power,P4_Delta_power,O1_Theta_power,O2_Theta_power,OZ_Theta_power,P1_Theta_power,P2_Theta_power,PZ_Theta_power,PO3_Theta_power,PO4_Theta_power,PO7_Theta_power,PO8_Theta_power,P3_Theta_power,P4_Theta_power,O1_Alpha_power,O2_Alpha_power,OZ_Alpha_power,P1_Alpha_power,P2_Alpha_power,PZ_Alpha_power,PO3_Alpha_power,PO4_Alpha_power,PO7_Alpha_power,PO8_Alpha_power,P3_Alpha_power,P4_Alpha_power,O1_Beta_power,O2_Beta_power,OZ_Beta_power,P1_Beta_power,P2_Beta_power,PZ_Beta_power,PO3_Beta_power,PO4_Beta_power,PO7_Beta_power,PO8_Beta_power,P3_Beta_power,P4_Beta_power,O1_Gamma_power,O2_Gamma_power,OZ_Gamma_power,P1_Gamma_power,P2_Gamma_power,PZ_Gamma_power,PO3_Gamma_power,PO4_Gamma_power,PO7_Gamma_power,PO8_Gamma_power,P3_Gamma_power,P4_Gamma_power,SecondsTarget2,Correct_2,AI2 Correct,ConfidenceLabel
1.0572095041460853e-05,5.28329545305677e-06,8.303298075274017e-06,3.941111617807493e-06,2.1952136890499997e-06,2.8640611917873423e-06,1.0091804691600561e-05,4.2605536081156655e-06,9.58045098277236e-06,2.589644500283613e-06,4.650519494828128e-06,1.5234513210146855e-06,8.745564247939104e-05,7.532570247705721e-05,7.63850515344412e-05,4.317036427088812e-05,4.3766580471165046e-05,3.924728955850289e-05,7.94957693000249e-05,7.394345074104511e-05,9.697502874686081e-05,8.956782890594305e-05,5.385688005201273e-05,5.7657132956846725e-05,1.4597756016362914e-05,1.3795534253343192e-05,1.3251148836682408e-05,7.999207245338255e-06,7.411297857058397e-06,6.203735905357756e-06,1.373848977844076e-05,1.3581163354255977e-05,1.5986653987604738e-05,1.655141170589146e-05,9.42082861182467e-06,1.0325421845526494e-05,0.3713202551924408,0.4039271406178054,0.4387937968859253,0.304226709591883,0.31969184135965645,0.34584331648428696,0.28907506468313315,0.29566620368725954,0.32845472451278745,0.33316489788423864,0.29358760793485794,0.29675605772631725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0
1.4836502875583254e-06,3.961135587439454e-06,2.040569044513548e-06,1.3991206615815082e-06,2.388088273982623e-06,-4.1942383035602144e-08,3.1141042017702573e-06,5.386521938416656e-06,3.4995057036585297e-06,6.8005615473656295e-06,1.9137879251442903e-06,5.626056029003909e-06,5.4966142515642776e-05,5.286930643084889e-05,5.405343423547644e-05,3.194307986777677e-05,3.013685981771057e-05,2.5890176707704876e-05,5.710084328539966e-05,5.3190770968611486e-05,7.092429715369703e-05,6.581445677353174e-05,3.953803815396023e-05,4.389558781031687e-05,1.0520037415857797e-05,8.490099296086534e-06,7.926782766652312e-06,5.5639625732095255e-06,4.729729277673114e-06,4.67164388762251e-06,8.89621174799653e-06,7.98768244970356e-06,9.6417050471369e-06,1.0124525675304752e-05,6.4423080083322796e-06,6.630711757334075e-06,0.3839075300772766,0.38186250321892,0.4506404807592604,0.36695708464583604,0.3815583999928872,0.3813485631898471,0.36593768718467384,0.3556129291357721,0.3738896887374154,0.34452499004993176,0.3749924206016158,0.3465539438858931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.0,0
-3.3393575884557732e-06,-4.157672101478513e-06,-6.351524559385143e-06,2.2383751943424428e-07,-5.80455986967702e-07,-5.300066138965758e-07,-6.283484018142002e-06,-1.6725901909761507e-06,-3.2024226053195806e-06,-5.758058687715405e-06,-1.2238912989275875e-06,-2.4795570286795846e-06,6.604699499621123e-05,6.995916348914158e-05,6.26573618260583e-05,4.600712764568399e-05,4.031275262191393e-05,3.856666745939122e-05,7.827677325512893e-05,6.377077086560561e-05,7.675433330230769e-05,8.06631620277904e-05,5.517277894395408e-05,5.1483482230856546e-05,9.991451862093917e-06,9.529935380760069e-06,9.348510477294148e-06,5.750251367636471e-06,5.770421658559079e-06,4.605034131291249e-06,1.105877418528793e-05,9.345680885213147e-06,1.101579835625229e-05,1.1789250916598058e-05,7.1482195466160945e-06,8.165595401572125e-06,0.4775354030413919,0.4135808778412862,0.47801450403211593,0.37520750020054294,0.3783436940785191,0.41110946492103123,0.3476844891742165,0.3867393171729525,0.39808999321508537,0.36848727778845697,0.36319618617701477,0.36800703597588214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,1.0,0
-2.7471644984678382e-06,-8.800446628012383e-07,-8.001150569949223e-07,-8.082421765158458e-07,-1.660034875224165e-07,-1.1755267024177548e-06,5.574367399692892e-07,-8.188789634392328e-07,-6.59581408885636e-07,-1.0739111283611233e-06,-6.49528055950651e-07,1.5244205168037618e-07,6.359325774349519e-05,6.437150938947951e-05,5.84503897144875e-05,3.8243212603335307e-05,3.570578089282276e-05,3.0139634056289993e-05,6.879856664453762e-05,5.986695083762001e-05,7.312672978058272e-05,7.795093516696234e-05,4.571117580316948e-05,5.440283380124468e-05,1.0026521511055281e-05,9.572081250690193e-06,8.696641710547308e-06,6.992206166379387e-06,6.046755023538477e-06,5.131949817824194e-06,1.1143201165147052e-05,1.0220314686361976e-05,1.2144622991586363e-05,1.2226033256687603e-05,8.488398827688347e-06,8.752251548957403e-06,0.43233354172844957,0.3977842402806454,0.4721764382626642,0.31420047957143177,0.3576153024116542,0.36750409711049364,0.33491441688391743,0.3376692931784387,0.3588562105568546,0.4194361117237982,0.32641680737511874,0.3538675131205071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0
3.1676507847650295e-06,2.2141801397844994e-06,2.332813017771233e-06,-1.9334762263777638e-08,-7.67810452048383e-07,-4.7088908694777325e-07,1.999924190368368e-06,1.6379742582382348e-07,4.443826406506579e-06,2.6754998784782723e-06,1.2251591269774425e-06,-4.427408321506062e-07,8.466818215928026e-05,9.605915045327474e-05,7.454964428199509e-05,4.394040859572617e-05,4.3577334293969506e-05,3.3457074080873246e-05,8.745384575698347e-05,8.792199494098217e-05,9.415919089386269e-05,0.0001092920910936929,5.708472237479583e-05,6.74761293614995e-05,1.3828364437861444e-05,1.3077891843160676e-05,1.202430775570159e-05,8.257680428037269e-06,6.4748031301065275e-06,5.802504249790143e-06,1.3886099517658009e-05,1.2059379535653e-05,1.5385108326001553e-05,1.3797209849441343e-05,1.0142917305305786e-05,9.018182440654752e-06,0.3022578523144996,0.3012216965178623,0.30260006110227056,0.2517924517886375,0.2834490750686382,0.29749214076398534,0.23708340636814074,0.2314769200652494,0.26685581641969364,0.34535415295194904,0.2514982719786985,0.26168898841357924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.0,0.0,0
-1.7266955911361005e-06,-2.591007907348392e-06,-1.7980615777328439e-06,-1.1817756735997667e-06,-3.1687765870400184e-08,-3.301142360182498e-07,-1.2724678994322183e-06,-1.1147097203907401e-06,-5.320034849721886e-06,-1.4210630959060204e-06,-9.691047962344566e-07,-5.292111213925039e-07,0.00011518611878877285,6.0463939514091274e-05,9.816915487299632e-05,3.8036418818762196e-05,2.7051799705870693e-05,2.5190106328307833e-05,8.080271891220368e-05,5.380041681057814e-05,6.881141645224444e-05,6.471776755205745e-05,3.9175329109465825e-05,3.528933802278043e-05,1.5331508578943847e-05,9.125145509214285e-06,1.3159036451002182e-05,5.12687425966023e-06,3.791537325265548e-06,3.571066962481681e-06,1.1053416587233032e-05,7.108072097369127e-06,1.0535121279044197e-05,1.0523696932574349e-05,5.746080435655998e-06,5.067388389134129e-06,0.6864268250299835,0.6844888508005151,0.7084828337701935,0.6723272841461183,0.6892357654423796,0.71004795738234,0.6836720043241549,0.694669293322788,0.6739865475866021,0.6946975877486815,0.6673428059362644,0.6606402005408385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0
-3.458517410406577e-06,-1.785503385796289e-06,-2.624320375516339e-06,-8.148755598706297e-07,3.972386633886436e-07,-6.147665364270299e-07,-1.5216833232069834e-06,-3.7173177809378343e-07,-4.62343178341919e-06,-2.0492842676298277e-07,-8.1889527365391e-07,2.1188679015901117e-08,3.8280474566131854e-05,4.222888172931982e-05,3.9391717811312075e-05,2.05177077729048e-05,2.198096174412499e-05,1.8420790148957064e-05,3.139915458381069e-05,3.247855559732082e-05,3.6925886060945904e-05,5.515607438467008e-05,1.860533804964469e-05,2.7629926611759696e-05,5.522155349030759e-06,6.7765819169566844e-06,5.62512374463617e-06,2.928300805914791e-06,3.270640353862098e-06,2.6176744513173995e-06,4.431309554986204e-06,4.91261247995108e-06,5.809847893601264e-06,8.176285872716196e-06,2.814152069985928e-06,4.433368571439526e-06,0.5988268738866129,0.70148638100655,0.6567734310804811,0.5893078126855933,0.6466500088736477,0.6622899148200926,0.6035759459976896,0.658018558239104,0.5564696696762672,0.6976462970919176,0.5695304139606361,0.6515572768744439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0
3.108383499004983e-06,1.1425313970669157e-06,7.345463432413615e-07,-1.398479346923423e-06,-2.673812898621554e-06,-2.4705709513233958e-06,-2.1693290668208943e-06,-2.370818149916099e-06,1.8286628682634007e-06,-6.537700085693371e-09,1.0299453683161596e-06,-1.349237770278325e-06,5.785006317791724e-05,7.689664630548842e-05,5.180132662092321e-05,2.758512585351099e-05,2.654252140973218e-05,2.4317440925237664e-05,4.47317274871609e-05,4.3113931547031576e-05,0.0001056353070453082,8.688321663855112e-05,3.033452789277303e-05,3.948885907693596e-05,8.506087366022855e-06,8.70605004850843e-06,7.993780292770314e-06,4.426774257243188e-06,4.7516579590254765e-06,4.203752968872038e-06,6.696755832594071e-06,6.661443896770785e-06,1.1340256652092609e-05,1.0334442739277685e-05,4.860417744082761e-06,5.86049885920737e-06,0.6357630495499091,0.6292232029312625,0.5929251046412034,0.5526997822701037,0.5536778693399839,0.5514745991615737,0.5626156748049884,0.5795216199034811,0.6582499906016208,0.6403557259677645,0.6265848348758559,0.5712909088826542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0
-6.723019113782186e-07,-1.357443641875076e-07,1.1072431781459958e-06,1.626526309335977e-06,3.418952006964973e-07,3.259526621948609e-07,1.95129160801034e-06,1.092474929712456e-06,7.125569330598384e-07,-1.2250035372873476e-06,1.9029167891030026e-06,1.6354290143699203e-06,9.735590719438551e-05,5.7873340460573314e-05,7.828232554698503e-05,3.1311686436753697e-05,3.1818151393665913e-05,2.6374522142578213e-05,6.852610189302826e-05,4.922968470541891e-05,8.443811395307402e-05,9.28040540259462e-05,3.740181722734683e-05,4.230034626771361e-05,1.2158015322879328e-05,9.418259166469427e-06,1.0851546781800672e-05,4.544425791561186e-06,4.633967414945679e-06,3.8831357860799e-06,8.528776505373156e-06,7.660643724923236e-06,9.720920368058796e-06,1.2527663406407539e-05,5.219206437242512e-06,6.173766525805032e-06,0.658542025940468,0.684623972840512,0.6645833938989085,0.6288171446092105,0.6297363182890019,0.6454803173711945,0.6460799800303878,0.6565083764630314,0.65158758900158,0.6725715704195127,0.6181820493845886,0.6340177010143796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0
1.2128984333428141e-06,1.7778346293249177e-06,2.6895927207389108e-06,6.200444888647155e-07,1.3140605334459302e-06,-5.241364721302891e-07,1.7673359124265747e-06,1.7361262611674142e-06,-9.809749224340414e-07,1.7675337297769726e-06,-8.890506878881267e-07,1.9570463299858615e-06,9.871195958964345e-05,7.400606136710773e-05,8.97736585257847e-05,3.99023188537241e-05,3.682957639932383e-05,3.1816453853386996e-05,7.151972180429334e-05,6.21698168138615e-05,6.765542966927435e-05,0.00010952572222713624,4.1083181277500524e-05,4.466079700638295e-05,1.4073863280634714e-05,1.1017674459726028e-05,1.1807201990898971e-05,5.112915095279714e-06,4.932974357354832e-06,4.397950601023437e-06,9.943100022797261e-06,7.843766305621401e-06,1.0374451013634938e-05,1.3742393104459657e-05,5.48910751764816e-06,6.387088050761828e-06,0.6885269311692869,0.7001114180104325,0.7016274776617476,0.645402330178212,0.6426464301790674,0.637532176930973,0.6856725397497156,0.6599702319223872,0.6683721226676965,0.6995622305069886,0.6595987577172747,0.6721471068935294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0
