O1_mean,O1_ptp,O1_std,O1_entropy,O2_mean,O2_ptp,O2_std,O2_entropy,OZ_mean,OZ_ptp,OZ_std,OZ_entropy,P1_mean,P1_ptp,P1_std,P1_entropy,P2_mean,P2_ptp,P2_std,P2_entropy,PZ_mean,PZ_ptp,PZ_std,PZ_entropy,PO3_mean,PO3_ptp,PO3_std,PO3_entropy,PO4_mean,PO4_ptp,PO4_std,PO4_entropy,PO7_mean,PO7_ptp,PO7_std,PO7_entropy,PO8_mean,PO8_ptp,PO8_std,PO8_entropy,P3_mean,P3_ptp,P3_std,P3_entropy,P4_mean,P4_ptp,P4_std,P4_entropy,O1_Delta_power,O2_Delta_power,OZ_Delta_power,P1_Delta_power,P2_Delta_power,PZ_Delta_power,PO3_Delta_power,PO4_Delta_power,PO7_Delta_power,PO8_Delta_power,P3_Delta_power,P4_Delta_power,O1_Theta_power,O2_Theta_power,OZ_Theta_power,P1_Theta_power,P2_Theta_power,PZ_Theta_power,PO3_Theta_power,PO4_Theta_power,PO7_Theta_power,PO8_Theta_power,P3_Theta_power,P4_Theta_power,O1_Alpha_power,O2_Alpha_power,OZ_Alpha_power,P1_Alpha_power,P2_Alpha_power,PZ_Alpha_power,PO3_Alpha_power,PO4_Alpha_power,PO7_Alpha_power,PO8_Alpha_power,P3_Alpha_power,P4_Alpha_power,O1_Beta_power,O2_Beta_power,OZ_Beta_power,P1_Beta_power,P2_Beta_power,PZ_Beta_power,PO3_Beta_power,PO4_Beta_power,PO7_Beta_power,PO8_Beta_power,P3_Beta_power,P4_Beta_power,O1_Gamma_power,O2_Gamma_power,OZ_Gamma_power,P1_Gamma_power,P2_Gamma_power,PZ_Gamma_power,PO3_Gamma_power,PO4_Gamma_power,PO7_Gamma_power,PO8_Gamma_power,P3_Gamma_power,P4_Gamma_power,SecondsTarget1,SecondsTarget2,SecondsConfident,Correct_1,Correct_2,AI1 Correct,AI2 Correct,ConfidenceLabel
1.4257335596406335e-06,-9.331941203474298e-07,6.399036491559884e-07,1.7692249053371862e-06,4.2233255252587174e-08,7.874694145672924e-07,1.6282991062816752e-06,-2.016048858390657e-07,1.8208581641407585e-06,3.536277966305738e-08,1.4632031361382656e-06,1.95333177636253e-07,6.860693532788277e-05,8.5774862072868e-05,7.33470247324191e-05,3.394125262274163e-05,3.96956414174173e-05,3.086855880573137e-05,5.991691383493039e-05,7.500778179304543e-05,6.1542850339004e-05,8.74059884725584e-05,4.019719113691517e-05,5.7374471519572095e-05,1.0071218105065188e-05,1.0826801112316412e-05,1.0602396089149519e-05,5.8188155048181555e-06,5.881006814347786e-06,4.852110606339861e-06,9.068682383985884e-06,1.0109836916745183e-05,9.862557289737555e-06,1.1687832347646368e-05,6.517469823061041e-06,8.288015895785564e-06,0.5315513360428701,0.5702117285888094,0.5722936324736938,0.42157028172013716,0.4191911982844307,0.45431432424489865,0.46328011270638564,0.4429028660145124,0.5265932532843114,0.5303544945343007,0.4535063098426519,0.3827336677211735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.2,0.5,0.0,0.0,0.0,0.0,0
-5.044224012951972e-06,4.973497630552351e-06,2.8170286124493234e-06,5.778131247598459e-06,5.184188164153339e-06,3.7172049486142928e-06,5.63965803751376e-06,7.387073686216257e-06,5.958200016818285e-06,6.064675150911167e-06,6.378689432353331e-06,6.403803793553872e-06,5.495597825480418e-05,5.584577546325102e-05,5.278420816446218e-05,4.0849266902785925e-05,3.7933968448232284e-05,3.186210052075222e-05,5.7375215385537014e-05,6.0718425597433134e-05,5.752617440004846e-05,6.210903152043586e-05,4.693942821095711e-05,4.664929187440936e-05,1.0440857295526005e-05,9.555812547446622e-06,8.965820420626232e-06,7.499375736917231e-06,6.554458501622184e-06,5.401132433912644e-06,1.0901840030028333e-05,1.036007906374505e-05,1.04985767425839e-05,1.0099719293275135e-05,8.588062764745073e-06,8.206544456522067e-06,0.3299640911419301,0.30265174397105404,0.33285830147875833,0.23947259691898481,0.2622586140441946,0.2994243600180782,0.2453772689510571,0.2510521341756122,0.320174688654852,0.3808761980238687,0.26175795461360085,0.28682213950901514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.33,0.9,0.0,1.0,0.0,0.0,0
6.2497487334524445e-06,4.856437709040574e-06,1.6891242026636096e-06,3.327479937218863e-06,9.261913336934487e-07,1.3582429132497412e-06,7.560829000855297e-06,4.0003578504019e-06,9.540321864397607e-06,6.81745849572831e-06,5.399895819988612e-06,2.2777514952833477e-06,4.158437909117653e-05,3.3611192618386966e-05,3.9455428977533055e-05,3.0144190712162277e-05,2.3251955927317404e-05,2.2135408345602724e-05,4.422641552249431e-05,3.4627202900245615e-05,4.609459865376393e-05,4.340539253720147e-05,3.819625749481128e-05,3.516023054782563e-05,7.984179607451821e-06,7.2686803382837095e-06,7.547865441970866e-06,5.4147017698849775e-06,4.3115793767308345e-06,4.078736846965273e-06,7.98326059879833e-06,7.1167622028693515e-06,8.802029883879642e-06,7.778140913979027e-06,6.517582384871971e-06,6.57032158797744e-06,0.43542323030546715,0.44733991573955256,0.44521361605115495,0.3776842130857717,0.42274789828266457,0.42888250220754537,0.37783142900000616,0.40098725275210134,0.37907005004326594,0.5271993297544287,0.37982777088906666,0.3816338179512383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.07,0.28,0.0,0.0,0.0,0.0,0
2.1481234845723735e-06,1.3409136351302035e-06,6.494965811344966e-07,4.705475157095876e-06,1.342806301453895e-07,1.4423178990275067e-06,5.779156115838049e-06,1.1266773697226577e-06,4.739231031964172e-06,1.4408064800218385e-06,5.723012381973464e-06,2.7320529509952645e-07,5.416671548519043e-05,4.9735803478555144e-05,4.8550767775980665e-05,3.277307120631845e-05,3.1759861865920014e-05,2.482394402912244e-05,4.8253167984251564e-05,5.084877192056939e-05,5.040920244841259e-05,5.985352501062754e-05,4.223633755510666e-05,4.088798321891132e-05,9.983022684356395e-06,9.451697400279429e-06,9.010793987744957e-06,5.818076282903706e-06,5.59918961264656e-06,4.44188175432265e-06,8.776240345658144e-06,8.594804699064098e-06,9.350461419491383e-06,1.0597167062044175e-05,7.398097089806145e-06,7.210707628287389e-06,0.36700771774024576,0.38575744597362704,0.38868148220059473,0.33649083763868914,0.3444038521158263,0.4029568286696381,0.3333709851705783,0.34081629383238754,0.3752359312002037,0.40452773197145914,0.33195852664727443,0.3516459171494764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.38,0.27,0.0,1.0,1.0,0.0,0
-3.0528802949149113e-07,6.407245047482277e-07,-6.834315356654373e-07,-3.75433791391272e-09,3.811725804421687e-07,1.2133497891959788e-07,-6.786833735073522e-07,1.0387127603107563e-07,1.2478950520218054e-06,3.7973595208753297e-06,3.2581105084423445e-06,2.38850117808954e-06,7.301099758788175e-05,5.337155137892166e-05,8.644072701564486e-05,3.412522307363213e-05,3.603598680934747e-05,3.0471210402803917e-05,7.727730922261816e-05,5.3636688097002255e-05,6.941451245902255e-05,6.66901396021314e-05,3.977968015164116e-05,4.220703781915769e-05,1.1557891739824862e-05,8.777904294013237e-06,1.3076396120882948e-05,5.2822547140746745e-06,5.171690374497246e-06,4.576534256799995e-06,1.1439838326707453e-05,8.453294519240657e-06,1.0187975728873043e-05,1.0237596925607109e-05,5.911740743538645e-06,6.509219324656032e-06,0.668805119554248,0.6763549167805114,0.6766418236396522,0.6497575395180837,0.6122680151800552,0.632618242109451,0.662119691081239,0.6621297583547073,0.6850114079333677,0.6901922646742868,0.6453967306360023,0.6223844137795205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.4,0.47,0.0,0.0,0.0,0.0,0
8.271329070818043e-07,8.451823334698624e-07,5.024097006893609e-07,2.699337542104461e-06,1.65825665211001e-06,1.5577638976232032e-06,1.875816872859322e-06,1.8960664560098297e-07,3.6683055988810645e-06,3.3700654793514335e-06,4.8972540056169166e-06,4.260143612397966e-06,3.5158523470803574e-05,5.082105051561008e-05,4.438218296289693e-05,2.4738195356853584e-05,3.1912914195550684e-05,2.3341771543698307e-05,3.796438970517452e-05,4.8113363144516646e-05,3.56100853974589e-05,5.8370599599332504e-05,2.2208941880420732e-05,3.900946225807796e-05,6.673931500223185e-06,7.958413304712045e-06,7.474372877115097e-06,4.072404502251158e-06,5.213359033135615e-06,4.022440594450062e-06,6.416697828629436e-06,7.4353456292146e-06,6.598013894949759e-06,9.13202522685681e-06,4.771108399039406e-06,6.822993471936896e-06,0.5409714643314654,0.636037617409827,0.5461204961774382,0.5026709162042199,0.45545254438005883,0.5041582629891099,0.46395341206355184,0.5127671206222891,0.5233260737723074,0.682603392588733,0.4065865366083968,0.4846960134982128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.27,1.33,0.0,0.0,0.0,0.0,0
2.8673453781811737e-06,1.5547393363322456e-06,6.042327573431914e-07,2.102162524400099e-06,1.552544280494158e-07,1.5447922179140968e-06,1.916750927275166e-06,3.3520107399998207e-07,1.5470014327635645e-06,2.7401204053681455e-06,5.4694036346546785e-06,1.7599451934292708e-06,8.354906823998661e-05,7.070220929415033e-05,7.000824338403719e-05,2.763309281048217e-05,3.553406515686714e-05,3.117345802065982e-05,5.3460691317051097e-05,4.691601359919982e-05,6.530250914298834e-05,6.417843039521602e-05,3.1203140180008707e-05,4.321747196730239e-05,1.2332250673323416e-05,1.0726415036265779e-05,1.1130126597331071e-05,4.7545470907660205e-06,5.201087338088026e-06,4.385856078336261e-06,8.689732141091806e-06,7.893139217111955e-06,9.603940474488457e-06,1.0635936712803044e-05,5.631044629036085e-06,6.456925285955639e-06,0.6814151575284328,0.6582272276596461,0.6704899135089252,0.6230224470393104,0.5776835808684175,0.6016142875915304,0.6785265620842115,0.6339296414335908,0.6891067710229404,0.6758155797903239,0.611146330136042,0.5843324712130069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.94,0.73,0.0,0.0,0.0,0.0,0
6.971233246130402e-07,1.4121054934817162e-06,-8.255941366117349e-07,1.1133038696709479e-06,-5.756628145682262e-07,-1.2851951240268125e-06,-3.202238021186753e-07,-2.0422752021747102e-06,2.1568202849225325e-06,2.9568597546559465e-06,1.45969262673706e-06,1.970898047031022e-06,7.306408291489616e-05,6.539075453461125e-05,7.610745220042528e-05,2.928471271750608e-05,3.906582250268664e-05,2.9154535219970976e-05,5.4140432221096635e-05,6.871679097946088e-05,0.00010317429325757636,8.78273618388041e-05,4.032022084546685e-05,4.783356654488127e-05,1.162006223687936e-05,9.524341635074851e-06,1.1566397474579262e-05,4.727450156583056e-06,5.6072761116213435e-06,4.570243857396501e-06,8.512438123517484e-06,8.384823985117903e-06,1.0196131722435302e-05,1.1307683540831554e-05,5.751890854029823e-06,6.862534597690585e-06,0.6632101240165461,0.6887734120499043,0.6754516425330631,0.6338985795555064,0.559499602084405,0.588502886757723,0.6551337970368466,0.6042062089383075,0.6314867990249038,0.6986772684960234,0.6123655871261634,0.5974423042910362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.17,0.33,0.0,0.0,1.0,0.0,0
3.888509403020622e-06,4.162425123033153e-06,3.4817450524804794e-06,2.8313766286078953e-06,5.616423525655645e-07,5.789221172984623e-07,4.7414169683486444e-06,3.7412578514390597e-06,5.165053400424632e-06,5.216926085052e-06,3.2112847646052e-06,3.8004673642465485e-06,3.801305952011512e-05,3.6443562415618244e-05,3.855140104097273e-05,2.6609840325883018e-05,2.384657186209544e-05,2.3176317156451244e-05,3.296720019600166e-05,3.2921564972728207e-05,4.9664472454565315e-05,3.55695771272975e-05,2.863907902162638e-05,2.7095922878519303e-05,6.072397234811958e-06,5.804343669586816e-06,5.8331654349638465e-06,4.4466845139922925e-06,4.339623159752013e-06,3.9718301583422675e-06,6.143337285051005e-06,6.073014436323337e-06,8.122840827651165e-06,6.233619329700118e-06,4.653680929974115e-06,5.432414417233209e-06,0.6296687551122461,0.6642868056795092,0.6094738971854425,0.47055724158026574,0.44832845897200246,0.47674010985069615,0.4833958962184187,0.48033599375035346,0.7074492510252026,0.718829597342778,0.582187211165285,0.48168060133603025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31,0.56,0.0,0.0,0.0,0.0,0
5.825714295815469e-06,3.769714580395756e-06,4.118246137501055e-06,4.701099475939315e-06,8.988415317480775e-07,1.6754760561499192e-06,5.468088797125956e-06,6.266457379243656e-07,6.698745252756024e-06,2.837483100859946e-06,5.646726598934373e-06,3.2778331104479307e-06,7.971404246231561e-05,5.160463701570691e-05,6.790164739631384e-05,4.34547461366252e-05,3.6457236197932354e-05,3.473810950091775e-05,6.43457430168639e-05,5.159287821141531e-05,6.347564109034976e-05,7.54407613756925e-05,4.6151742818658715e-05,4.275143421823488e-05,1.242765490921732e-05,9.326665846489995e-06,1.0368629803641762e-05,5.977280951154138e-06,5.777488221083044e-06,4.95133274868242e-06,9.257714114405494e-06,8.171084351415879e-06,1.0130212524712406e-05,1.2120929538491403e-05,6.371742834336055e-06,7.27952650069737e-06,0.6976781633912494,0.6915789685520646,0.7012568636960991,0.5991321802115439,0.5997678423955608,0.6137181870565037,0.6666671900343746,0.6523102926586613,0.6742424070646802,0.6883960106917208,0.6109999280712404,0.6259528828093323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3,0.36,1.0,1.0,0.0,0.0,0
